.*[Rr]easonable.*,557,653
.*[Rr]elative.*,216,334
.*[Rr]emarkable.*,1,1
.*[Ss]ignificant.*,280,359
.*[Ss]light.*,387,454
.*[Ss]mall.*,1048,1342
.*[Ss]ubstantial.*,54,59
.*[Tt]iny.*,145,182
.*[Tt]remendous.*,6,6
.*[Aa]pproximate.*,314,314
.*[Cc]lose.*,733,1202
.*[Gg]ross.*,124,265
.*[Pp]roximate.*,314,314
.*[Rr]ough.*,1329,1764
.*[Vv]irtual.*,238,501
.*[Aa]llegation.*,0,0
.*[Aa]rgument.*,520,912
.*[Aa]ssertion.*,149,230
.*[Cc]harge.*,51,129
.*[Cc]laim.*,122,149
.*[Cc]lue.*,44,48
.*[Cc]ontention.*,18,43
.*[Hh]int.*,72,120
.*[Ii]mplication.*,56,65
.*[Ii]ndication.*,41,49
.*[Pp]ostulate.*,1,1
.*[Pp]rediction.*,8,8
.*[Pp]roposal.*,118,157
.*[Pp]roposition.*,4,4
.*[Ss]uggestion.*,746,890
.*[Aa]pproach.*,685,1034
.*[Aa]pproximation.*,12,23
.*[Aa]ssessment.*,12,13
.*[Aa]ssumption.*,181,237
.*[Bb]elief.*,11,19
.*[Cc]oncept.*,108,126
.*[Cc]onceptualization.*,1,1
.*[Cc]onclusion.*,40,51
.*[Cc]onstruct.*,329,573
.*[Dd]eduction.*,0,0
.*[Ee]stimate.*,30,40
.*[Ee]stimate.*,30,40
.*[Ee]stimation.*,9,16
.*[Ee]stimator.*,4,7
.*[Ee]valuation.*,31,53
.*[Ee]xpectancy.*,0,0
.*[Ee]xpectation.*,84,108
.*[Ff]antasy.*,0,0
.*[Ff]ear.*,35,38
.*[Gg]uess.*,915,1163
.*[Hh]ope.*,676,795
.*[Hh]unch.*,3,4
.*[Hh]ypothesis.*,5,6
.*[Ii]dea.*,2061,3126
.*[Ii]llusion.*,2,2
.*[Ii]mpression.*,34,42
.*[Ii]nference.*,9,9
.*[Ii]nterpretation.*,30,36
.*[Jj]udgment.*,22,22
.*[Nn]otion.*,33,50
.*[Oo]pinion.*,402,480
.*[Pp]erception.*,5,7
.*[Pp]erspective.*,88,101
.*[Pp]hilosophy.*,3,3
.*[Pp]oint of view.*,58,61
.*[Pp]remise.*,6,9
.*[Pp]resumption.*,1,1
.*[Pp]rojection.*,5,8
.*[Ss]cenario.*,192,407
.*[Ss]cheme.*,69,107
.*[Ss]peculation.*,4,5
.*[Ss]upposition.*,1,1
.*[Ss]uspicion.*,10,10
.*[Tt]enet.*,1,1
.*[Tt]heory.*,68,83
.*[Tt]hesis.*,12,13
.*[Tt]hinking.*,343,432
.*[Tt]hought.*,1040,1326
.*[Vv]iew.*,92741,39894
.*[Vv]iewpoint.*,1,3
.*[Vv]ision.*,555,1080
.*[Aa]lternative.*,433,543
.*[Aa]ppearance.*,11,14
.*[Aa]venue.*,2,3
.*[Cc]andidate.*,97,129
.*[Cc]hance.*,635,693
.*[Ii]nclination.*,6,6
.*[Ll]ikelihood.*,4,5
.*[Oo]dds.*,8,8
.*[Oo]pportunity.*,57,67
.*[Oo]ption.*,1202,2092
.*[Pp]ossibility.*,104,130
.*[Pp]otential.*,671,758
.*[Pp]robability.*,18,20
.*[Pp]romise.*,70,77
.*[Pp]rospect.*,4,4
.*[Ss]ign.*,8043,13443
.*[Tt]endency.*,4,8
.*[Tt]hreat.*,3,3
.*[Tt]rend.*,3,3
